link,fighter_1,fighter_2,method,round,time,weight_class
http://www.ufcstats.com/fight-details/503d7342cc08109f,Charles Johnson,Sumudaerji,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/a2f46e94aa6b0c64,Cameron Smotherman,Jake Hadley,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/0599f35e6679de02,Darren Elkins,Daniel Pineda,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/c61923255389e67c,Asu Almabayev,Matheus Nicolau,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/308f6cb830019ea9,Jean Matsumoto,Brad Katona,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/fc73ecbd83b7f159,Joselyne Edwards,Tamires Vidal,SUB,3,4:33,Women's Bantamweight
http://www.ufcstats.com/fight-details/53f7f1b4834387a8,Elise Reed,Jessica Penne,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/4277b02a4dadac40,Melissa Martinez,Alice Ardelean,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/32b8c6c4b735d712,Austen Lane,Robelis Despaigne,U-DEC,3,5:00,Heavyweight
http://www.ufcstats.com/fight-details/998bde5639c61adb,Brandon Royval,Tatsuro Taira,S-DEC,5,5:00,Flyweight
http://www.ufcstats.com/fight-details/6fa2dae90bda4742,JunYong Park,Brad Tavares,S-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/ee5c0b8a757992af,Chidi Njokuani,Jared Gooden,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/98c29ba02cee5ba3,Grant Dawson,Rafa Garcia,KO/TKO,2,1:42,Lightweight
http://www.ufcstats.com/fight-details/f690949d90ff1dee,Daniel Rodriguez,Alex Morono,S-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/f1cc9169813c4a3e,Ramazan Temirov,CJ Vergara,KO/TKO,1,2:50,Flyweight
http://www.ufcstats.com/fight-details/69a5895fde58432c,Pat Sabatini,Jonathan Pearce,SUB,1,4:06,Featherweight
http://www.ufcstats.com/fight-details/57415110bd494c79,Themba Gorimbo,Niko Price,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/85854504ce1aa97a,Junior Tafa,Sean Sharaf,KO/TKO,2,2:15,Heavyweight
http://www.ufcstats.com/fight-details/48dd2c9cb39bd2d4,Julia Polastri,Cory McKenna,S-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/b23554da35a84fbc,Cody Haddon,Dan Argueta,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/de484433eef22e1d,Clayton Carpenter,Lucas Rocha,SUB,2,2:12,Flyweight
http://www.ufcstats.com/fight-details/8c5e06c71f392f33,Alex Pereira,Khalil Rountree Jr.,KO/TKO,4,4:32,Light Heavyweight
http://www.ufcstats.com/fight-details/1d68bb733de24b06,Julianna Pena,Raquel Pennington,S-DEC,5,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/3d7d82fff71e395a,Mario Bautista,Jose Aldo,S-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/5931cd9cf5da5f75,Roman Dolidze,Kevin Holland,KO/TKO,1,5:00,Middleweight
http://www.ufcstats.com/fight-details/9ea124a13d071186,Kayla Harrison,Ketlen Vieira,U-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/69bca5091b2a31f6,Joaquin Buckley,Stephen Thompson,KO/TKO,3,2:17,Welterweight
http://www.ufcstats.com/fight-details/eb73b63bbd7b88a7,Iasmin Lucindo,Marina Rodriguez,S-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/e8aad69aace1d31f,Alexander Hernandez,Austin Hubbard,S-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/ed5b6681ab4e83e5,Cesar Almeida,Ihor Potieria,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/58dec0a39cdefa3f,Ryan Spann,Ovince Saint Preux,SUB,1,1:35,Light Heavyweight
http://www.ufcstats.com/fight-details/58e5fc1914c4e641,Tecia Pennington,Carla Esparza,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/84b3577229880760,Court McGee,Tim Means,SUB,1,3:19,Welterweight
http://www.ufcstats.com/fight-details/7ca4c91bab696b89,Renato Moicano,Benoit Saint Denis,KO/TKO,2,5:00,Lightweight
http://www.ufcstats.com/fight-details/62ff1e5deb124ff5,Nassourdine Imavov,Brendan Allen,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/19706d8ba0edf9cd,William Gomis,Joanderson Brito,S-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/45f00a42a17f8e2a,Bryan Battle,Kevin Jousset,KO/TKO,2,3:47,Welterweight
http://www.ufcstats.com/fight-details/f114929ed709606e,Morgan Charriere,Gabriel Miranda,KO/TKO,2,0:27,Featherweight
http://www.ufcstats.com/fight-details/d806aacf5b6ba7f6,Fares Ziam,Matt Frevola,KO/TKO,3,2:59,Lightweight
http://www.ufcstats.com/fight-details/89b772f864acb637,Ion Cutelaba,Ivan Erslan,S-DEC,3,5:00,Light Heavyweight
http://www.ufcstats.com/fight-details/3599e9de4ae0e171,Oumar Sy,Da Woon Jung,U-DEC,3,5:00,Light Heavyweight
http://www.ufcstats.com/fight-details/e01019fbfe0e9528,Ludovit Klein,Roosevelt Roberts,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/d063d46208c560b1,Taylor Lapilus,Vince Morales,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/7ba432e218edc17d,Ailin Perez,Daria Zhelezniakova,SUB,1,3:52,Women's Bantamweight
http://www.ufcstats.com/fight-details/47d978a984a163aa,Daniel Barez,Victor Altamirano,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/a187670c5ee1ec5f,Jacqueline Cavalcanti,Nora Cornolle,S-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/eedc7fccf7037949,Chris Duncan,Bolaji Oki,SUB,1,3:34,Lightweight
http://www.ufcstats.com/fight-details/3146e5a47a922976,Merab Dvalishvili,Sean O'Malley,U-DEC,5,5:00,Bantamweight
http://www.ufcstats.com/fight-details/6f83cfae0c800ef8,Valentina Shevchenko,Alexa Grasso,U-DEC,5,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/2335e75ce63805b6,Diego Lopes,Brian Ortega,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/27d98a8ee6608e27,Esteban Ribovics,Daniel Zellhuber,S-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/78b506e5092a27fd,Ronaldo Rodriguez,Ode Osbourne,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/2397e2a92710705a,Norma Dumont,Irene Aldana,U-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/3733d100f7bd5590,Ignacio Bahamondes,Manuel Torres,KO/TKO,1,4:02,Lightweight
http://www.ufcstats.com/fight-details/c60a317c7767abb7,Ketlen Souza,Yazmin Jauregui,SUB,1,3:02,Women's Strawweight
http://www.ufcstats.com/fight-details/dae8ad2e03aa4a9a,Joshua Van,Edgar Chairez,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/3cdc6fea724be133,Raul Rosas Jr.,Aoriqileng,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/ee9ade72b44dfa06,Sean Brady,Gilbert Burns,U-DEC,5,5:00,Welterweight
http://www.ufcstats.com/fight-details/bcfaf1dd78f12f97,Natalia Silva,Jessica Andrade,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/453e6f2665c85fd7,Steve Garcia,Kyle Nelson,KO/TKO,1,3:59,Featherweight
http://www.ufcstats.com/fight-details/fe59646ebad8b6e4,Cody Durden,Matt Schnell,SUB,2,0:29,Bantamweight
http://www.ufcstats.com/fight-details/75fa9c0bb31caaa3,Yanal Ashmouz,Trevor Peek,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/b80c6eba11c54778,Chris Padilla,Rongzhu,KO/TKO,2,4:14,Lightweight
http://www.ufcstats.com/fight-details/abfd5ac6cf186d8a,Isaac Dulgarian,Brendon Marotte,SUB,2,4:19,Featherweight
http://www.ufcstats.com/fight-details/69bde5bae0d6ec4f,Andre Lima,Felipe dos Santos,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/6e9876d2be2bbd02,Gabriel Santos,Yizha,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/f1613b372748c8bb,Jaqueline Amorim,Vanessa Demopoulos,SUB,1,3:28,Women's Strawweight
http://www.ufcstats.com/fight-details/f734b497add754af,Andre Petroski,Dylan Budka,U-DEC,3,5:00,Middleweight
